code,description,parent_code
15.23,VOORBEHANDELEN ONDERGROND BESTAANDE TERREINVERHARDINGEN,15
15.24,INJECTEREN BESTAANDE TERREINVERHARDINGEN,15
15.25,HERSTELLEN BESTAANDE TERREINVERHARDINGEN,15
15.26,AANPASSEN BESTAANDE TERREINVERHARDINGEN,15
15.27,HERPLAATSEN BESTAANDE TERREINVERHARDINGEN,15
15.28,ONDERHOUDEN BESTAANDE TERREINVERHARDINGEN,15
15.31,KANTOPSLUITINGEN MET BANDEN,15
15.34,BESTRATINGSVOEGEN,15
15.38,VOORZIENINGEN KANTOPSLUITINGEN,15
15.41,STRAATSTEENBESTRATING,15
15.42,TEGELBESTRATING,15
15.43,KEIENBESTRATING,15
15.44,BEDRIJFSVLOERPLAAT BESTRATING,15
15.51,OPPERVLAKTEBEHANDELINGEN ASFALTVERHARDING,15
15.52,ASFALTVERHARDINGEN,15
15.61,BETONVERHARDINGEN,15
15.71,VERHARDINGSLAGEN VAN STEENMENGSEL,15
15.81,GELEIDINGSCONSTRUCTIES,15
15.88,STELPOSTEN,15
16,BEPLANTING,
16.00,ALGEMEEN,16
16.11,FUNCTIONELE OMSCHRIJVINGEN,16
16.12,WERKBESCHEIDEN,16
16.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",16
16.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",16
16.15,INSTRUCTIE/OPLEIDING,16
16.16,INREGELING EN INBEDRIJFSTELLING,16
16.17,REVISIEBESCHEIDEN,16
16.18,GARANTIES,16
16.21,VERWIJDEREN BESTAANDE BEPLANTING,16
16.25,HERSTELLEN BESTAANDE BEPLANTING,16
16.26,AANPASSEN BESTAANDE BEPLANTING,16
16.27,HERPLAATSEN BESTAANDE BEPLANTING,16
16.28,ONDERHOUDEN BESTAANDE BEPLANTING,16
16.30,GRONDVERBETERING,16
16.41,ZAAIEN,16
16.42,POTEN,16
16.43,BEZODEN,16
16.51,PLANTEN,16
16.52,VERPLANTEN,16
16.60,WATER GEVEN,16
16.81,FOLIES EN WEEFSELS,16
16.88,STELPOSTEN,16
17,TERREININRICHTING,
17.00,ALGEMEEN,17
17.11,FUNCTIONELE OMSCHRIJVINGEN,17
17.12,WERKBESCHEIDEN,17
17.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",17
17.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",17
17.15,INSTRUCTIE/OPLEIDING,17
17.16,INREGELING EN INBEDRIJFSTELLING,17
17.17,REVISIEBESCHEIDEN,17
17.18,GARANTIES,17
17.21,DEMONTEREN/VERWIJDEREN BESTAANDE TERREININRICHTING,17
17.22,REINIGEN BESTAANDE TERREININRICHTING,17
17.25,HERSTELLEN BESTAANDE TERREININRICHTING,17
17.26,AANPASSEN BESTAANDE TERREININRICHTING,17
17.27,HERPLAATSEN BESTAANDE TERREININRICHTING,17
17.28,ONDERHOUDEN BESTAANDE TERREININRICHTING,17
17.31,GEBOUWEN/BOUWWERKEN,17
17.32,TERREINMEUBILAIR,17
17.33,"SPORT-, TRIM- EN SPEELTOESTELLEN",17
17.34,"VERKEERSVOORZIENINGEN, BEWEGWIJZERING EN RECLAME",17
17.35,DECORATIEVE OBJECTEN,17
17.41,"AFRASTERINGEN, VOORAF VERVAARDIGD",17
17.42,"POORTEN EN HEKKEN, VOORAF VERVAARDIGD",17
17.43,"GELUIDWERINGSSCHERMEN, VOORAF VERVAARDIGD",17
17.51,"TIMMERWERK, IN HET WERK VERVAARDIGDE OBJECTEN",17
17.52,"AFRASTERINGEN, IN HET WERK VERVAARDIGD",17
17.88,STELPOSTEN,17
20,FUNDERINGSPALEN EN DAMWANDEN,
20.00,ALGEMEEN,20
20.11,FUNCTIONELE OMSCHRIJVINGEN,20
20.12,WERKBESCHEIDEN,20
20.13,"BEPROEVEN, CONTROLEREN, KEUREN, INREGELEN, IN BEDRIJF STELLEN",20
20.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",20
20.15,INSTRUCTIE/OPLEIDING,20
20.16,"KEURING, INSPECTIE, RAPPORTAGE",20
20.17,REVISIEBESCHEIDEN,20
20.18,GARANTIES,20
20.21,DEMONTEREN/VERWIJDEREN BESTAANDE FUNDERINGSPALEN EN DAMWANDEN,20
20.25,HERSTELLEN BESTAANDE FUNDERINGSPALEN EN DAMWANDEN,20
20.26,AANPASSEN BESTAANDE FUNDERINGSPALEN EN DAMWANDEN,20
20.31,PAALFUNDERINGEN VAN VOORAF VERVAARDIGDE PALEN,20
20.32,IN DE GROND GEVORMDE PALEN,20
20.37,BEWERKINGEN FUNDERINGSPALEN,20
20.41,DAMWANDEN VAN VOORAF VERVAARDIGDE DAMWANDPROFIELEN,20
20.42,IN DE GROND GEVORMDE DAMWANDEN,20
20.43,DAMWANDVERANKERINGEN,20
20.47,BEWERKINGEN DAMWANDEN,20
20.88,STELPOSTEN,20
21,BETONWERK,
21.00,ALGEMEEN,21
21.11,FUNCTIONELE OMSCHRIJVINGEN,21
21.12,WERKBESCHEIDEN,21
21.13,"BEPROEVEN, CONTROLEREN, KEUREN, INREGELEN, IN BEDRIJF STELLEN",21
21.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",21
21.15,INSTRUCTIE/OPLEIDING,21
21.16,"KEURING, INSPECTIE, RAPPORTAGE",21
21.17,REVISIEBESCHEIDEN,21
21.18,GARANTIES,21
21.20,BESTAAND WERK,21
21.21,DEMONTEREN/VERWIJDEREN BESTAAND BETONWERK,21
21.22,REINIGEN BESTAAND BETONWERK,21
21.23,VOORBEHANDELEN ONDERGROND BESTAAND BETONWERK,21
21.24,INJECTEREN BESTAAND BETONWERK,21
21.25,HERSTELLEN BESTAAND BETONWERK,21
21.26,AANPASSEN BESTAAND BETONWERK,21
21.27,HERPLAATSEN BESTAAND BETONWERK,21
21.28,ONDERHOUDEN BESTAAND BETONWERK,21
21.31,VERLOREN BEKISTING,21
21.32,TIJDELIJKE BEKISTING,21
21.33,STAALBETONVLOER,21
21.40,WAPENINGSWERK,21
21.50,IN HET WERK GESTORT BETON,21
21.51,"IN HET WERK GESTORT BETON, MONOLITISCH AFGEWERKT",21
21.52,IN HET WERK GESTORT SCHUIMBETON,21
21.53,"IN HET WERK GESTORT BETON, GEWICHTBESPARENDE VOORZ.",21
21.60,VOORSPANNING,21
21.71,NABEHANDELING,21
21.72,BEWERKING,21
21.81,ISOLATIE,21
21.82,ANKERS EN BEVESTIGINGSMIDDELEN,21
21.83,PROFIELEN,21
21.84,OPLEGGINGEN,21
21.85,DOORVOERINGEN EN SPARINGEN,21
21.86,VOCHTKERINGEN,21
21.88,STELPOSTEN,21
22,METSELWERK,
22.00,ALGEMEEN,22
22.11,FUNCTIONELE OMSCHRIJVINGEN,22
22.12,WERKBESCHEIDEN,22
22.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",22
22.14,MONSTERS EN PROEFOPSTELLING,22
22.15,INSTRUCTIE/OPLEIDING,22
22.16,"KEURING, INSPECTIE, RAPPORTAGE",22
22.17,REVISIEBESCHEIDEN,22
22.18,GARANTIES,22
22.21,DEMONTEREN/VERWIJDEREN BESTAAND METSELWERK,22
22.22,REINIGEN BESTAAND METSELWERK,22
22.23,VOORBEHANDELEN ONDERGROND BESTAAND METSELWERK,22
22.24,INJECTEREN BESTAAND METSELWERK,22
22.25,HERSTELLEN BESTAAND METSELWERK,22
22.26,AANPASSEN BESTAAND METSELWERK,22
22.27,HERPLAATSEN BESTAAND METSELWERK,22
22.28,ONDERHOUDEN BESTAAND METSELWERK,22
22.31,BAKSTEEN MET MORTEL,22
22.32,KALKZANDSTEEN MET MORTEL,22
22.33,BETONSTEEN MET MORTEL,22
22.34,NATUURSTEEN MET MORTEL,22
